"p_female","p_HDI_low","educ_pre_college","age_mean","STEM","Course.Staff.Gender","Course.Staff.Gender.Photos","Course.Staff.Race.Photos","Textio.Tone.Analysis.About","Watson.Overall.Sentiment.About","Prestige.Markers","Watson.Joy.About","Reference.to.diversity.accessibility","Prerequisites","Weekly.Effort","Quizzes.or.tests","Watson.Disgust.About","Watson.Sadness.About","Textio.Score.About","Textio.Score.FAQ","Course.Title.Intro","Self.Paced"
0.36144578313253,0.111888111888112,0.165644171779141,39.0535714285714,0,1,1,0,-3,0.811765,1,0.627457,0,1,NA,1,0.055144,0.142992,28,40,0,1
0.317777777777778,0.23110151187905,0.205882352941176,32.2689655172414,1,-1,-1,0,-2,0.511918,1,0.59612,0,0,3,1,0.064507,0.144127,43,22,0,1
0.386111111111111,0.297814207650273,0.274111675126904,27.3342618384401,1,1,1,0,0,0.562164,0,0.216202,0,0,3,1,0.100425,0.163142,27,36,0,1
0.472222222222222,0.332622601279318,0.198830409356725,29.0021929824561,0,0,0,0,-1,0.645645,0,0.495265,1,0,3,1,0.028032,0.217516,28,35,0,0
0.368217054263566,0.258522727272727,0.160831509846827,31.0630872483221,1,1,1,0,2,0.715872,1,0.564687,0,1,NA,0,0.057975,0.092784,28,37,1,1
0.408932309839498,0.258386866523912,0.203174603174603,31.7380952380952,1,0,0,1,1,0.48792,0,0.566596,0,0,1,1,0.112409,0.151226,32,28,0,1
0.399355531686359,0.286826174690112,0.156732051037898,29.0103162143978,1,1,1,0,1,0.786597,0,0.789089,0,0,4,0,0.01316,0.057955,18,34,0,1
0.258830740939392,0.291573950452455,0.1438,30.3305489260143,1,-1,NA,NA,1,0.768848,1,0.207503,1,1,NA,0,0.024411,0.100148,31,NA,0,1
0.514112903225806,0.229757085020243,0.107773851590106,32.7743966421826,0,-1,NA,NA,0,0.580487,1,0.391741,0,0,5,0,0.008863,0.106363,28,NA,0,0
0.441853770869315,0.236166571591557,0.159785932721713,32.376421304608,1,0,0,0,1,0.749771,1,0.669209,0,0,1,0,0.031212,0.416644,27,29,0,1
0.457271364317841,0.23216995447648,0.0993288590604027,36.4427001569859,0,-1,NA,NA,2,0.733901,1,0.615446,0,1,NA,0,0.044551,0.072201,29,34,0,1
